SEGID,SURVEY,QNAME,FIPS
T140G13121011000,ACS2010_5yr,"Census Tract 110, Fulton County, Georgia","13121011000"
T140G13121011100,ACS2010_5yr,"Census Tract 111, Fulton County, Georgia","13121011100"
T140G13121011202,ACS2010_5yr,"Census Tract 112.02, Fulton County, Georgia","13121011202"
T140G13121980000,ACS2010_5yr,"Census Tract 9800, Fulton County, Georgia","13121980000"
T140G13121012300,ACS2010_5yr,"Census Tract 123, Fulton County, Georgia","13121012300"
T140G13121010601,ACS2010_5yr,"Census Tract 106.01, Fulton County, Georgia","13121010601"
T140G13063040306,ACS2010_5yr,"Census Tract 403.06, Clayton County, Georgia","13063040306"
T140G13063040202,ACS2010_5yr,"Census Tract 402.02, Clayton County, Georgia","13063040202"
T140G13063980000,ACS2010_5yr,"Census Tract 9800, Clayton County, Georgia","13063980000"
T140G13063040520,ACS2010_5yr,"Census Tract 405.20, Clayton County, Georgia","13063040520"
T140G13063040204,ACS2010_5yr,"Census Tract 402.04, Clayton County, Georgia","13063040204"
T140G13063040203,ACS2010_5yr,"Census Tract 402.03, Clayton County, Georgia","13063040203"
T140G13121011301,ACS2010_5yr,"Census Tract 113.01, Fulton County, Georgia","13121011301"
T140G13121011303,ACS2010_5yr,"Census Tract 113.03, Fulton County, Georgia","13121011303"
T140G13121007705,ACS2010_5yr,"Census Tract 77.05, Fulton County, Georgia","13121007705"
T140G13121010603,ACS2010_5yr,"Census Tract 106.03, Fulton County, Georgia","13121010603"
T140G13121011305,ACS2010_5yr,"Census Tract 113.05, Fulton County, Georgia","13121011305"
T140G13121007706,ACS2010_5yr,"Census Tract 77.06, Fulton County, Georgia","13121007706"
T140G13121010604,ACS2010_5yr,"Census Tract 106.04, Fulton County, Georgia","13121010604"
T140G13121011306,ACS2010_5yr,"Census Tract 113.06, Fulton County, Georgia","13121011306"
T140G13121010507,ACS2010_5yr,"Census Tract 105.07, Fulton County, Georgia","13121010507"
T140G13121010511,ACS2010_5yr,"Census Tract 105.11, Fulton County, Georgia","13121010511"
T140G13063040522,ACS2010_5yr,"Census Tract 405.22, Clayton County, Georgia","13063040522"
