SEGID,SURVEY,QNAME,FIPS
T140G13067031001,ACS2010_5yr,"Census Tract 310.01, Cobb County, Georgia","13067031001"
T140G13067031118,ACS2010_5yr,"Census Tract 311.18, Cobb County, Georgia","13067031118"
T140G13067031110,ACS2010_5yr,"Census Tract 311.10, Cobb County, Georgia","13067031110"
T140G13067031313,ACS2010_5yr,"Census Tract 313.13, Cobb County, Georgia","13067031313"
T140G13067031312,ACS2010_5yr,"Census Tract 313.12, Cobb County, Georgia","13067031312"
T140G13121007806,ACS2010_5yr,"Census Tract 78.06, Fulton County, Georgia","13121007806"
T140G13121007805,ACS2010_5yr,"Census Tract 78.05, Fulton County, Georgia","13121007805"
T140G13121007802,ACS2010_5yr,"Census Tract 78.02, Fulton County, Georgia","13121007802"
T140G13089021202,ACS2010_5yr,"Census Tract 212.02, DeKalb County, Georgia","13089021202"
T140G13121010113,ACS2010_5yr,"Census Tract 101.13, Fulton County, Georgia","13121010113"
T140G13089021209,ACS2010_5yr,"Census Tract 212.09, DeKalb County, Georgia","13089021209"
T140G13121010115,ACS2010_5yr,"Census Tract 101.15, Fulton County, Georgia","13121010115"
T140G13089021413,ACS2010_5yr,"Census Tract 214.13, DeKalb County, Georgia","13089021413"
T140G13089021603,ACS2010_5yr,"Census Tract 216.03, DeKalb County, Georgia","13089021603"
T140G13089021504,ACS2010_5yr,"Census Tract 215.04, DeKalb County, Georgia","13089021504"
T140G13089022402,ACS2010_5yr,"Census Tract 224.02, DeKalb County, Georgia","13089022402"
T140G13089021503,ACS2010_5yr,"Census Tract 215.03, DeKalb County, Georgia","13089021503"
T140G13089022403,ACS2010_5yr,"Census Tract 224.03, DeKalb County, Georgia","13089022403"
T140G13089020700,ACS2010_5yr,"Census Tract 207, DeKalb County, Georgia","13089020700"
T140G13121007200,ACS2010_5yr,"Census Tract 72, Fulton County, Georgia","13121007200"
T140G13121980000,ACS2010_5yr,"Census Tract 9800, Fulton County, Georgia","13121980000"
T140G13121010603,ACS2010_5yr,"Census Tract 106.03, Fulton County, Georgia","13121010603"
T140G13121011305,ACS2010_5yr,"Census Tract 113.05, Fulton County, Georgia","13121011305"
T140G13121007706,ACS2010_5yr,"Census Tract 77.06, Fulton County, Georgia","13121007706"
T140G13121011306,ACS2010_5yr,"Census Tract 113.06, Fulton County, Georgia","13121011306"
T140G13089023803,ACS2010_5yr,"Census Tract 238.03, DeKalb County, Georgia","13089023803"
T140G13089023423,ACS2010_5yr,"Census Tract 234.23, DeKalb County, Georgia","13089023423"
